Source,Target,Type,Label,Src_Label,Tgt_Label,Scr_Role,Tgt_Role,Src_Title,Charter,Year
"Peter the Venerable, Abbot of Cluny","Anscher, Abbot of Reading",Directed,grants to,Peter the Venerable,Anscher,Grantor,Recipient,Abbot of Cluny,219,1130-1135
"Anscher, Abbot of Reading",Tomus,Directed,leases to,Anscher,Tomus,Grantor,Recipient,Abbot,821,1130-1135
Hugh,"Anscher, Abbot of Reading",Directed,witnesses,Hugo,Anscher,Witness,Grantor,,821,1130-1135
"Ralph, the provost","Anscher, Abbot of Reading",Directed,witnesses,Ralph,Anscher,Witness,Grantor,Provost,821,1130-1135
"Geoffrey, the steward","Anscher, Abbot of Reading",Directed,witnesses,Gaufredus,Anscher,Witness,Grantor,Steward,821,1130-1135
"Ralph, his partner","Anscher, Abbot of Reading",Directed,witnesses,Ralph,Anscher,Witness,Grantor,Partner,821,1130-1135
"Simon, the servant","Anscher, Abbot of Reading",Directed,witnesses,Simon,Anscher,Witness,Grantor,"Assistant, Servant",821,1130-1135
Hugh,Tomus,Directed,witnesses,Hugo,Tomus,Witness,Recipient,,821,1130-1135
"Ralph, the provost",Tomus,Directed,witnesses,Ralph,Tomus,Witness,Recipient,Provost,821,1130-1135
"Geoffrey, the steward",Tomus,Directed,witnesses,Gaufredus,Tomus,Witness,Recipient,Steward,821,1130-1135
"Ralph, his partner",Tomus,Directed,witnesses,Ralph,Tomus,Witness,Recipient,,821,1130-1135
"Simon, the servant",Tomus,Directed,witnesses,Simon,Tomus,Witness,Recipient,Assistant,821,1130-1135
"Anscher, Abbot of Reading",Ralph Gray,Directed,grants to,Anscher,Ralph Gray,Grantor,Recipient,Abbot,822,1130-1135
"Roger, Abbot of Reading","Warin, son of Ralph of Wycombe",Directed,grants to,Roger,Warin,Grantor,Recipient,Abbot,823,1158-1165
Osbern Driebried,"Roger, Abbot of Reading",Directed,forfeits to,Osbern,Roger,Forfeitor,Recipient,,823,1158-1165
Hamone of Shottesbrooke,"Roger, Abbot of Reading",Directed,witnesses,Hamone,Roger,Witness,Grantor,,823,1158-1165
Godwin of Thatcham,"Roger, Abbot of Reading",Directed,witnesses,Godwyno,Roger,Witness,Grantor,,823,1158-1165
Hereward of Maidenhatch,"Roger, Abbot of Reading",Directed,witnesses,Herewardo,Roger,Witness,Grantor,,823,1158-1165
William Cailli,"Roger, Abbot of Reading",Directed,witnesses,Willelmo,Roger,Witness,Grantor,,823,1158-1165
Edmund of Tilehurst,"Roger, Abbot of Reading",Directed,witnesses,Edmund,Roger,Witness,Grantor,,823,1158-1165
Robert Olient,"Roger, Abbot of Reading",Directed,witnesses,Robert,Roger,Witness,Grantor,,823,1158-1165
"Gilbert, priest of Tilehurst","Roger, Abbot of Reading",Directed,witnesses,Gilbert,Roger,Witness,Grantor,,823,1158-1165
"Walter, son of Liulf of Stokes","Roger, Abbot of Reading",Directed,witnesses,Walter,Roger,Witness,Grantor,,823,1158-1165
"Peter, the clerk","Roger, Abbot of Reading",Directed,witnesses,Petro,Roger,Witness,Grantor,Cleric/Priest,823,1158-1165
"Edward, the clerk","Roger, Abbot of Reading",Directed,witnesses,Edward,Roger,Witness,Grantor,Cleric/Priest,823,1158-1165
Hamone of Shottesbrooke,"Warin, son of Ralph of Wycombe",Directed,witnesses,Hamone,Warin,Witness,Recipient,,823,1158-1165
Godwin of Thatcham,"Warin, son of Ralph of Wycombe",Directed,witnesses,Godwyno,Warin,Witness,Recipient,,823,1158-1165
Hereward of Maidenhatch,"Warin, son of Ralph of Wycombe",Directed,witnesses,Herewardo,Warin,Witness,Recipient,,823,1158-1165
William Cailli,"Warin, son of Ralph of Wycombe",Directed,witnesses,Willelmo,Warin,Witness,Recipient,,823,1158-1165
Edmund of Tilehurst,"Warin, son of Ralph of Wycombe",Directed,witnesses,Edmund,Warin,Witness,Recipient,,823,1158-1165
Robert Olient,"Warin, son of Ralph of Wycombe",Directed,witnesses,Robert,Warin,Witness,Recipient,,823,1158-1165
"Gilbert, priest of Tilehurst","Warin, son of Ralph of Wycombe",Directed,witnesses,Gilbert,Warin,Witness,Recipient,,823,1158-1165
"Walter, son of Liulf of Stokes","Warin, son of Ralph of Wycombe",Directed,witnesses,Walter,Warin,Witness,Recipient,,823,1158-1165
"Peter, the clerk","Warin, son of Ralph of Wycombe",Directed,witnesses,Petro,Warin,Witness,Recipient,Cleric/Priest,823,1158-1165
"Edward, the clerk","Warin, son of Ralph of Wycombe",Directed,witnesses,Edward,Warin,Witness,Recipient,Cleric/Priest,823,1158-1165
"Roger, Abbot of Reading","Geoffrey, the clerk",Directed,leases to,Roger,Geoffrey,Grantor,Recipient,Abbot,824,1158-1165
"Robert, the steward","Roger, Abbot of Reading",Directed,witnesses,Robert,Roger,Witness,Grantor,Steward (dapifer),824,1158-1165
Hamone of Shottesbrooke,"Roger, Abbot of Reading",Directed,witnesses,Hamone,Roger,Witness,Grantor,,824,1158-1165
Warin of Ponte,"Roger, Abbot of Reading",Directed,witnesses,Warin,Roger,Witness,Grantor,,824,1158-1165
Ralph Bilhog,"Roger, Abbot of Reading",Directed,witnesses,Radulpho,Roger,Witness,Grantor,,824,1158-1165
