ID,Label,Original
"""H"", Abbot of Reading","""H""","""H"""
"""R"", the carpenter","""R""","""R"""
"Achelmann, the cook",Achelmann,Achelmann
Adam of Benham,Adam 1,Adam
Adam of Earley,Adam 2,Adam
Adam of Port,Adam 3,Adam
"Adam, prior of Reading",Adam 4,Adam
"Adam, the clerk of Essendene",Adam 5,Adam
"Alan, brother of Raymond",Alan,Alan
"Aldwin, father of Walter",Aldwin,Aldwin
Alexander of Blebury,Alexander 1,Alexander
"Alexander, the butler",Alexander 2,Alexander
"Alfwin, brother of Walter the cook",Alfwin,Alfwin
Andrew of Wallingford,Andrew,Andrew
"Anscher, Abbot of Reading",Anscher,Anscher
Archenbald,Archenbald,Archenbals
Azo of Sonning,Azo,Azo
"Balwin, the squire",Balwin,Balwin
Benedict of York,Benedict,Benedict
Christina,Christina,Christina
Daniel Scot,Daniel 1,Daniel
"Daniel, the clerk",Daniel 2,Daniel
Durand of the king's chapel,Durand,Durand
Edmund of Tilehurst,Edmund,Edmund
Edward Gentil,Edward 1,Edward
"Edward, prior of Reading",Edward 2,Edward
"Edward, the clerk",Edward 3,Edward
Ernald Rufus,Ernald 1,Ernald
"Ernald, the marshal",Ernald 2,Ernald
"Fulcred, the vitner",Fulcred,Fulcred
Geoffrey of Bix,Geoffrey 1,Geoffrey
Geoffrey preposito,Geoffrey 2,Geoffrey
"Geoffrey, clerk of Bix",Geoffrey 3,Geoffrey
"Geoffrey, clerk of Reading",Geoffrey 4,Geoffrey
"Geoffrey, father-in-law of Turgiso",Geoffrey 5,Geoffrey
"Geoffrey, precentor of Reading",Geoffrey 6,Geoffrey
"Geoffrey, the clerk",Geoffrey 7,Geoffrey
"Geoffrey, the steward",Geoffrey 8,Geoffrey
"Gerold, son of John de la Rivera",Gerold,Gerold
Gilbert,Gilbert 1,Gilbert
Gilbert Conpernays,Gilbert 2,Gilbert
Gilbert latore,Gilbert 3,Gilbert
Gilbert of Felda,Gilbert 4,Gilbert
Gilbert super Pontem,Gilbert 5,Gilbert
"Gilbert, priest of Tilehurst",Gilbert 6,Gilbert
"Gilbert, son of Gilbert super Pontem",Gilbert 7,Gilbert
"Godard, clerk of Leomenstria",Godard 1,Godard
"Godard, the clerk",Godard 2,Godard
Godrey of Binfield,Godrey,Godfrey
Godwin of Thatcham,Godwin,Godwin
Hamo of Reading,Hamo 1,Hamo
"Hamo, son of Walter of Oxford",Hamo 2,Hamo
"Hamo, the scribe",Hamo 3,Hamo
Hamone of Shottesbrooke,Hamone,Hamone
"Henry, brother of Walter",Henry,Henrey
Hereward of Maidenhatch,Hereward,Hereward
"Hervey, the priest",Hervey,Hervey
Hubert of Clere,Hubert 1,Hubert
"Hubert, nephew (grandson) of Hugh of Sulham",Hubert 2,Hubert
Hugh,Hugh 1,Hugh
"Hugh II, Abbot of Reading",Hugh 2,Hugh
Hugh Maisent,Hugh 3,Hugh
"Hugh IV, Abbot of Cluny",Hugh 4,Hugh
Hugh of Dunesden,Hugh 5,Hugh
Hugh of Mortimer,Hugh 6,Hugh
Hugh of Shottesbrooke,Hugh 7,Hugh
"Hugh, brother of Robert",Hugh 8,Hugh
"Hugh, the merchant",Hugh 9,Hugh
"Hugo, nephew (grandson) of Lambert the chamberlain",Hugo,Hugh
John de la Rivera,John 1,John
John of Cataine,John 2,John
"John, grandson of Adam",John 3,John
"John, the cook",John 4,John
Jordan Conpernays,Jordan 1,Jordan
Jordan Wille,Jordan 2,Jordan
"Joseph, Abbot of Reading",Joseph,Joseph
"Lambert, the cook",Lambert,Lambert
Martin,Martin,Martin
Master Daniel,Daniel 3,Daniel
Master Gilbert,Gilbert 8,Gilbert
Master Hamon,Hamon 2,Hamone
Master W.,"""W""","""W"""
Meuselmus of Bolney,Meuselmus,Meuselmus
"Nicholas, brother of Meuselmus of Bolney",Nicholas 1,Nicholas
"Nicholas, son of Henry the goldsmith",Nicholas 2,Nicholas
"Nicholas, son of Ralph",Nicholas 3,Nicholas
"Nicholas, the chaplain",Nicholas 4,Nicholas
Osbern Driebried,Osbern,Osbern
Osbert of Maidenhatch,Osbert 1,Osbert
Osbert of Rotherwick,Osbert 2,Osbert
Osbert of Waltham,Osbert 3,Osbert
Osmund of Oakley,Osmund,Osmund
Payn Vachell,Payn,Payn
"Peter the Venerable, Abbot of Cluny",Peter 1,Peter
"Peter, the butler",Peter 2,Peter
"Peter, the clerk",Peter 3,Peter
Philip,Philip,Philip
Raher,Raher,Raher
Ralph Bilhog,Ralph 1,Ralph
Ralph Cepernail,Ralph 2,Ralph
Ralph Gray,Ralph 3,Ralph
Ralph of Bolney,Ralph 4,Ralph
Ralph of Caversham,Ralph 5,Ralph
Ralph of Oxford,Ralph 6,Ralph
Ralph of Reading,Ralph 7,Ralph
Ralph of Stanford,Ralph 8,Ralph
Ralph Purcell,Ralph 9,Ralph
Ralph Wille,Ralph 10,Ralph
"Ralph, father of Raymond",Ralph 11,Ralph
"Ralph, his partner",Ralph 12,Ralph
"Ralph, the canon",Ralph 13,Ralph
"Ralph, the janitor",Ralph 14,Ralph
"Ralph, the provost",Ralph 15,Ralph
"Ralph, the steward",Ralph 16,Ralph
"Rannulf, son of Tomus",Rannulf,Rannulf
"Raymond, son of Ralph the steward",Raymond 1,Raymond
"Raymond, son of Roger",Raymond 2,Raymond
"Raymond, the merchant",Raymond 3,Raymond
Reading Abbey,Reading,Reading
Reginald Lamb,Reginald 1,Reginald
Reginald of Sulham,Reginald 2,Reginald
"Reginald, the butler",Reginald 3,Reginald
"Reginald, the chamberlain",Reginald 4,Reginald
"Reginald, the steward",Reginald 5,Reginald
Richard Boistard,Richard 1,Richard
Richard of Oakley,Richard 2,Richard
Richard Wille,Richard 3,Richard
"Richard, son of Hugh of Dunesden",Richard 4,Richard
"Richard, step-son of Azo of Sonning",Richard 5,Richard
Robert of Herewardsley,Robert 1,Robert
Robert of Wallingford,Robert 2,Robert
Robert of Waltham,Robert 3,Robert
Robert Olient,Robert 4,Robert
Robert Partes,Robert 5,Robert
Robert sellario,Robert 6,Robert
"Robert, brother of Hugh of Shottesbrooke",Robert 7,Robert
"Robert, the chamberlain",Robert 8,Robert
"Robert, the steward",Robert 9,Robert
Roger of Coley,Roger 1,Roger
Roger of Saint Johns,Roger 2,Roger
Roger of the Chamber,Roger 3,Roger
Roger of Waltham,Roger 4,Roger
Roger pictore,Roger 5,Roger
"Roger, Abbot of Reading",Roger 6,Roger
Simon of Wallingford,Simon 1,Simon
"Simon, sub-prior of Reading",Simon 2,Simon
"Simon, the servant",Simon 3,Simon
"Simon, the stable-keeper",Simon 4,Simon
"Simon, the steward",Simon 5,Simon
Sir Peter Blund,Peter 4,Peter
Tomus,Tomus,Tomus
"Turgis, Geoffrey's son-in-law",Turgis,Turgis
Walter Furmache,Walter 1,Walter
Walter Marshal,Walter 2,Walter
Walter of Bollyngeshull,Walter 3,Walter
Walter of Constanc',Walter 4,Walter
Walter of Essindine,Walter 5,Walter
Walter of Oxford,Walter 6,Walter
Walter of Stokes,Walter 7,Walter
Walter Peg,Walter 8,Walter
Walter Wille,Walter 9,Walter
"Walter, son of Aldwin Wille",Walter 10,Walter
"Walter, son of Liulf of Stokes",Walter 11,Walter
"Walter, son of Walter of Stokes",Walter 12,Walter
"Walter, son-in-law of Walter of Oxford",Walter 13,Walter
"Walter, the cook",Walter 14,Walter
"Walter, the marshal",Walter 15,Walter
Warin of Ponte,Warin 1,Warin
Warin preposito,Warin 2,Warin
Warin Wafree,Warin 3,Warin
"Warin, son of Ralph of Wycombe",Warin 4,Warin
William Bevin,William 1,William
William Boistard,William 2,William
William Cailli,William 3,William
William Chamberlain,William 4,William
William Crawe,William 5,William
William Furmache,William 6,William
"William I, Abbot of Reading",William 7,William
William of Almonry,William 8,William
William of Coley,William 9,William
